2005,351,30,17,11/30/2020,843767,153,97,900901,2701,94413
2006,365,3,23,01/28/2020,419359,422,365,900902,2702,94414
2007,117,11,25,11/21/2020,1408017,206,117,900903,2703,94415
2008,7,15,33,10/02/2021,91490,9,7,900904,2704,94416
2009,159,19,8,11/12/2022,927432,255,159,900905,2705,94417
2010,32,26,27,02/21/2022,195020,47,32,900906,2706,94418
2011,97,35,3,02/27/2022,618864,153,97,900907,2707,94419
2012,263,31,8,05/07/2020,3637067,437,263,900908,2708,94420
2013,57,11,1,04/01/2021,717508,82,57,900909,2709,94421
2014,525,21,20,07/12/2021,6086860,651,525,900910,2710,94422
2015,263,44,44,08/30/2022,422335,437,263,900911,2711,94423
2016,97,7,12,06/05/2020,1008401,153,97,900912,2712,94424
2017,32,8,38,05/22/2021,298033,47,32,900913,2713,94425
2018,91,6,23,12/25/2020,310893,154,91,900914,2714,94426
2019,7,32,42,11/17/2021,26945,9,7,900915,2715,94427
2020,57,37,18,11/18/2021,816401,82,57,900916,2716,94428
2021,263,25,24,04/30/2020,634377,437,263,900917,2717,94429
2022,97,6,26,11/04/2022,1134585,153,97,900918,2718,94430
2023,525,13,49,07/22/2022,3343963,651,525,900919,2719,94431
2024,525,9,17,06/21/2021,2456364,651,525,900920,2720,94432
2025,550,76,75,12/30/2021,800908,284,636,900921,2721,94433
2026,35,86,49,10/19/2022,706494,464,267,900922,2722,94434
2027,430,93,71,09/14/2022,677710,926,565,900923,2723,94435
2028,193,85,31,06/02/2023,566647,26,2,900924,2724,94436
2029,977,18,26,08/03/2023,796859,821,268,900925,2725,94437
2030,894,10,2,05/13/2020,225989,771,504,900926,2726,94438
2031,753,43,21,07/16/2020,629296,33,532,900927,2727,94439
2032,202,13,81,08/05/2020,460400,529,934,900928,2728,94440
2033,323,38,48,09/04/2020,382812,131,100,900929,2729,94441
2034,870,64,25,09/25/2020,211808,162,534,900930,2730,94442
2035,3,98,14,08/05/2021,901985,960,637,900931,2731,94443
2036,996,80,17,11/02/2021,939002,659,161,900932,2732,94444
2037,497,66,30,11/18/2021,415687,413,164,900933,2733,94445
2038,357,39,96,12/08/2021,441420,697,259,900934,2734,94446
2039,992,76,42,01/11/2022,130750,770,905,900935,2735,94447
2040,448,17,26,01/18/2022,536258,130,175,900936,2736,94448
2041,553,28,20,02/23/2022,334893,993,278,900937,2737,94449
2042,320,43,85,03/10/2022,11090,108,623,900938,2738,94450
2043,287,32,96,04/28/2022,676567,480,987,900939,2739,94451
2044,971,90,57,05/24/2022,400138,721,885,900940,2740,94452
2045,79,87,100,07/14/2022,764323,670,42,900941,2741,94453
2046,21,83,78,09/06/2022,341830,886,134,900942,2742,94454
2047,653,96,34,09/21/2022,365247,273,429,900943,2743,94455
2048,354,65,30,09/27/2022,336590,800,728,900944,2744,94456
2049,791,53,9,11/22/2022,526634,208,523,900945,2745,94457
2050,639,48,14,12/23/2022,645720,291,485,900946,2746,94458
2051,812,14,78,01/20/2023,605563,634,291,900947,2747,94459
2052,557,74,40,02/03/2023,328110,639,55,900948,2748,94460
2053,237,54,42,02/08/2023,622724,848,706,900949,2749,94461
2054,897,6,17,02/28/2023,438443,663,813,900950,2750,94462
