12345,321 123 4567,Auteco,Calle Principal,juan.perez123@gmail.com,Medellín,210123456
67890,310 987 6543,Yofred Automotores,Carrera Central,laura.gomez456@hotmail.com,Bogotá,310987654
23456,317 456 7890,Autolarte,Avenida Norte,carlos.lopez789@yahoo.com,Medellín,410234567
78901,300 123 4567,Lubricantes Terpel,Calle Primera,andres.ramirez321@outlook.com,Cali,510432109
34567,314 987 6543,TallerManía,Carrera Principal,maria.rodriguez987@yahoo.com,Barranquilla,610321098
89012,318 456 7890,Auto Centro,Avenida Central,pedro.sanchez654@gmail.com,Cartagena,710456789
45678,305 123 4567,ServiCarros,Calle Principal,javier.gonzalez321@hotmail.com,Bucaramanga,810321098
90123,312 987 6543,Mecánica Rápida,Carrera Central,daniel.torres987@yahoo.com,Cúcuta,910234567
56789,315 456 7890,Talleres del Motor,Avenida Norte,carolina.martinez123@outlook.com,Pereira,1010321098
12344,302 123 4567,Taller Automotriz,Calle Primera,luis.morales456@gmail.com,Santa Marta,1110456789
34568,316 987 6543,ServiMotor,Carrera Principal,ana.jimenez789@hotmail.com,Manizales,1210432109
89023,319 456 7890,Lubrimotos,Avenida Central,andres.gutierrez321@yahoo.com,Villavicencio,1310321098
45679,303 123 4567,AutoParts Colombia,Calle Principal,david.vargas987@outlook.com,Pasto,1410123456
90124,313 987 6543,ServiAutos,Carrera Central,julian.castro456@gmail.com,Ibagué,1510987654
56790,320 456 7890,Talleres Mecánicos Unidos,Avenida Norte,marcela.ortega123@hotmail.com,Montería,1610234567
12354,304 123 4567,Reparaciones Express,Calle Primera,juan.herrera789@yahoo.com,Valledupar,1710432109
34569,311 987 6543,Mecánica y Electrónica Automotriz,Carrera Principal,laura.montoya321@gmail.com,Neiva,1810321098
89024,321 456 7890,Taller de Llantas,Avenida Central,sergio.gomez987@hotmail.com,Popayán,1910456789
45680,307 123 4567,ServiMotores,Calle Principal,sandra.lopez456@yahoo.com,Armenia,2010321098
90125,310 987 6543,Taller de Frenos,Carrera Central,carlos.gutierrez123@outlook.com,Sincelejo,2110234567
56791,322 456 7890,Servicio de Suspensiones,Avenida Norte,juanpablo.rios789@gmail.com,Riohacha,2210321098
12364,308 123 4567,Mecánica y Diagnóstico Automotriz,Calle Primera,paola.torres321@hotmail.com,Tunja,2310432109
34570,312 987 6543,Servicio de Alineación y Balanceo,Carrera Principal,diego.ramirez987@yahoo.com,Florencia,2410321098
89025,323 456 7890,Taller de Radiadores,Avenida Central,luisa.garcia123@outlook.com,Quibdó,2510123456
45681,309 123 4567,Servicio de Electricidad Automotriz,Calle Principal,ricardo.mendoza456@gmail.com,Girardot,2610987654
90126,313 987 6543,Mecánica Integral,Carrera Central,laura.rojas789@hotmail.com,Yopal,2710234567
56792,324 456 7890,Reparación de Cajas de Cambios,Avenida Norte,daniel.castañeda321@yahoo.com,Tumaco,2810432109
12374,300 123 4567,Taller de Dirección Hidráulica,Calle Primera,andres.velasco987@outlook.com,Mocoa,2910321098
34571,314 987 6543,Servicio de Climatización Automotriz,Carrera Principal,camila.salazar456@gmail.com,Turbo,3010456789
89026,325 456 7890,Taller de Chapa y Pintura,Avenida Central,mauricio.arango123@hotmail.com,Ipiales,3110321098
45682,301 123 4567,Servicio de Embellecimiento Automotriz,Calle Principal,patricia.valencia789@yahoo.com,Palmira,3210234567
90127,315 987 6543,Mecánica Diesel,Carrera Central,gabriel.mejia321@outlook.com,Buenaventura,3310321098
56793,326 456 7890,Taller de Transmisiones Automáticas,Avenida Norte,diana.restrepo987@gmail.com,Arauca,3410432109
12384,302 123 4567,Servicio de Escapes y Silenciadores,Calle Primera,esteban.morales456@hotmail.com,Magangué,3510321098
34572,316 987 6543,Taller de Vidrios y Parabrisas,Carrera Principal,andrea.castro123@yahoo.com,Fundación,3610123456
89027,327 456 7890,Servicio de Lavado y Engrase,Avenida Central,santiago.jaramillo789@gmail.com,Soacha,3710987654
45683,303 123 4567,Mecánica de Motocicletas,Calle Principal,alejandra.guzman321@hotmail.com,Zipaquirá,3810234567
90128,317 987 6543,Taller de Cajas de Transferencia,Carrera Central,sebastian.vargas987@yahoo.com,Buga,3910432109
56794,328 456 7890,Servicio de Diagnóstico por Computadora,Avenida Norte,natalia.lopez123@outlook.com,Maicao,4010321098
12393,304 123 4567,Taller de Inyección Electrónica,Calle Primera,alejandro.gomez456@gmail.com,Dosquebradas,4110456789
34573,318 987 6543,Servicio de Limpieza de Inyectores,Carrera Principal,valentina.cortes789@hotmail.com,Barrancabermeja,4210321098
89028,329 456 7890,Mecánica de Suspensión Neumática,Avenida Central,eduardo.marin321@yahoo.com,Duitama,4310234567
45684,305 123 4567,Taller de Sistemas de Seguridad,Calle Principal,daniela.rojas987@outlook.com,Floridablanca,4410321098
90129,319 987 6543,Servicio de Cambio de Aceite,Carrera Central,felipe.rios456@gmail.com,Piedecuesta,4510432109
56795,330 456 7890,Taller de Motores Diesel,Avenida Norte,andres.castro123@hotmail.com,Chiquinquirá,4610321098
12394,306 123 4567,Mecánica de Vehículos Eléctricos,Calle Primera,camilo.ortega789@yahoo.com,Girón,4710456789
34574,320 987 6543,Servicio de Reparación de Alternadores,Carrera Principal,juanpablo.garcia321@hotmail.com,Sogamoso,4810321098
89029,331 456 7890,Taller de Suspensión Hidroneumática,Avenida Central,andres.castillo987@gmail.com,Yumbo,4910234567
45685,307 123 4567,Mecánica de Vehículos Híbridos,Calle Principal,sofia.lopez456@outlook.com,Cajicá,5010321098
90130,321 987 6543,Servicio de Reparación de Motores,Carrera Central,carlos.molina789@gmail.com,Jamundí,5110432109
