90001,07/16/2023,1501,20001,55501
90002,04/05/2023,1502,20002,55502
90003,06/04/2023,1503,20003,55503
90004,03/20/2023,1504,20004,55504
90005,10/20/2023,1505,20005,55505
90006,11/01/2023,1506,20006,55506
90007,11/23/2023,1507,20007,55507
90008,07/10/2023,1508,20008,55508
90009,04/12/2023,1509,20009,55509
90010,04/01/2023,1510,20010,55510
90011,03/01/2023,1511,20011,55511
90012,08/15/2023,1512,20012,55512
90013,03/09/2023,1513,20013,55513
90014,10/25/2023,1514,20014,55514
90015,06/10/2023,1515,20015,55515
90016,07/01/2023,1516,20016,55516
90017,04/27/2023,1517,20017,55517
90018,12/03/2023,1518,20018,55518
90019,02/20/2023,1519,20019,55519
90020,03/06/2023,1520,20020,55520
90021,06/05/2023,1521,20021,55521
90022,10/20/2023,1522,20022,55522
90023,06/17/2023,1523,20023,55523
90024,11/26/2023,1524,20024,55524
90025,11/13/2023,1525,20025,55525
90026,05/25/2023,1526,20026,55526
90027,05/08/2023,1527,20027,55527
90028,01/27/2023,1528,20028,55528
90029,09/22/2023,1529,20029,55529
90030,05/12/2023,1530,20030,55530
90031,12/07/2023,1531,20031,55531
90032,06/08/2023,1532,20032,55532
90033,03/05/2023,1533,20033,55533
90034,07/04/2023,1534,20034,55534
90035,11/25/2023,1535,20035,55535
90036,07/04/2023,1536,20036,55536
90037,10/16/2023,1537,20037,55537
90038,12/17/2023,1538,20038,55538
90039,04/26/2023,1539,20039,55539
90040,06/15/2023,1540,20040,55540
90041,11/06/2023,1541,20041,55541
90042,08/04/2023,1542,20042,55542
90043,05/13/2023,1543,20043,55543
90044,11/12/2023,1544,20044,55544
90045,07/22/2023,1545,20045,55545
90046,11/24/2023,1546,20046,55546
90047,11/04/2023,1547,20047,55547
90048,12/07/2023,1548,20048,55548
90049,11/22/2023,1549,20049,55549
90050,08/09/2023,1550,20050,55550
